                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4216,                  16.22,                 1.0842,                0.69615,                0.53176,                0.60666,                 0.3609,                 1.0058,                0.88395,                0.95702,               0.070462,              0.0032821,              0.0032821
                      1,                 1.4165,                 1.4094,                  1.037,                0.71798,                0.57367,                0.64417,                0.36423,                 1.0282,                0.96898,                0.94967,               0.040455,              0.0066088,              0.0066088
                      2,                 1.5295,                 2.1789,                 1.0247,                0.80017,                0.32698,                0.53763,                0.30023,                 1.1576,                 1.2547,                0.99464,               0.010442,               0.009929,               0.009929
                      3,                 1.4846,                 2.2313,                 1.0693,                0.82961,                0.38117,                0.58465,                0.32784,                 1.1788,                  1.436,                 1.0389,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.5642,                 1.8186,                 1.1052,                0.81879,                0.28874,                0.53393,                0.29066,                 1.1303,                 1.3122,                 1.0254,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.5024,                 1.5201,                 1.0674,                0.70489,                0.52055,                0.59866,                0.32184,                 1.1769,                 1.1654,                 1.0484,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.5549,                 1.6595,                 1.0622,                0.64046,                0.41667,                0.50721,                0.28606,                  1.233,                  1.183,                 1.1085,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.5214,                 1.8152,                 1.0347,                0.65124,                0.48427,                 0.5562,                0.28209,                 1.2864,                 1.0016,                 1.1302,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.5263,                 1.6524,                 1.0148,                0.52413,                0.47197,                0.48144,                0.25499,                 1.3737,                 1.2477,                 1.1539,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.4697,                 2.6615,                 1.0649,                0.66521,                0.45366,                 0.5187,                0.26458,                 1.3937,                 1.2121,                  1.147,              0.0099208,              0.0099208,              0.0099208
                     10,                  1.575,                 1.7643,                 1.1022,                0.39558,                0.35202,                0.33805,                0.16764,                 1.4421,                 1.5449,                 1.0953,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.5959,                 1.5013,                 1.0345,                0.55326,                0.48767,                0.49482,                0.23614,                 1.4391,                 1.5451,                 1.1552,               0.009901,               0.009901,               0.009901
                     12,                 1.6608,                 1.5494,                 1.1349,                0.62591,                0.47019,                 0.5164,                0.25785,                 1.3861,                 1.1647,                 1.1194,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.4002,                  1.357,                 1.0624,                0.65595,                0.51831,                0.55775,                0.29736,                 1.2869,                 1.0788,                 1.1249,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.5244,                 1.4622,                 1.1213,                0.62096,                0.46037,                0.50027,                0.25435,                 1.3913,                 1.1197,                  1.166,              0.0098713,              0.0098713,              0.0098713
