                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.593,                 4.2471,                 1.1511,                0.75669,                0.64143,                0.70596,                0.43841,                 0.9908,                  1.959,                0.94398,                0.07075,                0.00325,                0.00325
                      1,                 1.3083,                 1.4824,                 1.0577,                0.66425,                0.59792,                0.64118,                 0.3819,                 1.0082,                 1.1628,                0.94041,               0.040737,              0.0065703,              0.0065703
                      2,                 1.4328,                 1.6498,                 1.0456,                0.55361,                0.62083,                0.59819,                0.29989,                 1.1164,                 3.3228,                0.97275,               0.010711,              0.0098774,              0.0098774
                      3,                  1.523,                 3.4368,                 1.1295,                 0.6991,                0.58958,                 0.6271,                0.35816,                 1.1566,                   2.53,                 1.0031,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.6759,                 1.9309,                 1.1092,                0.64774,                0.56042,                0.58311,                0.25056,                 1.4516,                 1.6648,                 1.0438,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6379,                 1.7915,                 1.1116,                0.70004,                0.54375,                0.57552,                0.33508,                 1.2114,                 2.3521,                0.98523,              0.0099208,              0.0099208,              0.0099208
                      6,                  1.613,                 1.3878,                 1.0822,                0.78642,                0.60856,                0.68748,                0.41159,                 1.1147,                0.89721,                0.98106,               0.009901,               0.009901,               0.009901
                      7,                 1.3871,                 1.1127,                 1.0521,                0.79164,                0.59653,                0.70351,                0.43464,                 1.1135,                0.80368,                0.98507,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.4334,                 1.5926,                 1.0736,                0.75161,                0.56458,                0.64194,                0.36859,                  1.217,                 1.2736,                 1.0026,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.5744,                 1.3573,                 1.0775,                0.69646,                0.53125,                0.61644,                0.37383,                 1.0762,                 1.0083,                0.95439,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.3941,                 1.0381,                 1.0496,                0.67846,                0.49167,                0.55937,                0.30212,                 1.2914,                 1.1119,                   1.02,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.4341,                 1.0925,                 1.0227,                0.71146,                0.60274,                0.67427,                0.37058,                 1.1992,                 1.1457,                0.98473,               0.009802,               0.009802,               0.009802
                     12,                 1.4966,                0.99205,                  1.058,                0.73383,                0.56458,                0.63608,                0.38335,                 1.1791,                0.93976,                0.98964,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6428,                 1.0318,                 1.0544,                 0.7218,                0.46845,                0.54545,                0.29311,                 1.3967,                0.96137,                 1.0179,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.5546,                 1.0383,                 1.0758,                0.68912,                0.54186,                 0.6088,                0.34215,                 1.2505,                  0.973,                 1.0079,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.5548,                 1.1523,                 1.0619,                0.72956,                0.58542,                0.65841,                0.38796,                 1.1965,                0.93751,                 0.9974,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.6071,                 1.0115,                 1.0296,                  0.738,                0.62431,                0.69411,                0.40851,                 1.1883,                 0.9535,                0.98965,               0.009703,               0.009703,               0.009703
                     17,                 1.5049,                0.92779,                 1.0367,                0.75527,                0.60278,                0.67241,                0.39599,                 1.2077,                0.91162,                 1.0058,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.4264,                 1.0166,                   1.07,                0.66682,                0.57639,                0.61259,                0.37211,                 1.1534,                 1.7694,                 1.0007,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.4704,                 1.0186,                 1.0505,                0.68855,                0.56192,                0.60781,                0.34988,                  1.269,                 1.4358,                 1.0158,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.5241,                0.88957,                  1.077,                0.76596,                0.58264,                0.68282,                0.40915,                 1.2157,                0.88001,                 1.0188,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.4832,                0.98218,                 1.0324,                0.73566,                0.60625,                0.67093,                0.40402,                 1.1891,                0.86484,                 1.0131,               0.009604,               0.009604,               0.009604
                     22,                 1.3683,                0.98672,                 1.0723,                0.73537,                0.63333,                0.68935,                0.41257,                  1.182,                0.92883,                 1.0025,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.3846,                0.88641,                 1.0229,                0.74978,                0.63264,                 0.6933,                 0.4061,                  1.157,                0.99085,                0.99967,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.3839,                0.92433,                 1.0552,                0.71548,                0.62569,                0.67471,                0.41418,                  1.118,                 1.0289,                0.98985,              0.0095446,              0.0095446,              0.0095446
                     25,                  1.388,                0.83882,                 1.0468,                 0.7331,                0.62639,                0.67997,                 0.4121,                 1.1341,                0.95594,                0.99609,              0.0095248,              0.0095248,              0.0095248
                     26,                   1.38,                0.88539,                 1.0276,                0.74213,                0.59167,                0.66798,                0.39363,                  1.193,                 1.1378,                 1.0022,               0.009505,               0.009505,               0.009505
