time (UTC),air_pressure_at_mean_sea_level (Pa),air_temperature (K),sea_surface_wave_mean_period (s),sea_surface_wave_significant_height (m),sea_surface_wave_from_direction (degree),wind_from_direction (degree),wind_speed_of_gust (m s-1),wind_speed (m s-1),eastward_sea_water_velocity_1 (m s-1),northward_sea_water_velocity_1 (m s-1),sea_water_temperature_1 (K),eastward_sea_water_velocity_2 (m s-1),northward_sea_water_velocity_2 (m s-1),sea_water_temperature_2 (K),eastward_sea_water_velocity_3 (m s-1),northward_sea_water_velocity_3 (m s-1),sea_water_temperature_3 (K),eastward_sea_water_velocity_4 (m s-1),northward_sea_water_velocity_4 (m s-1),sea_water_temperature_4 (K),eastward_sea_water_velocity_5 (m s-1),northward_sea_water_velocity_5 (m s-1),sea_water_temperature_5 (K),eastward_sea_water_velocity_6 (m s-1),northward_sea_water_velocity_6 (m s-1),sea_water_temperature_6 (K),eastward_sea_water_velocity_7 (m s-1),northward_sea_water_velocity_7 (m s-1),sea_water_temperature_7 (K),eastward_sea_water_velocity_8 (m s-1),northward_sea_water_velocity_8 (m s-1),sea_water_temperature_8 (K),northward_sea_water_velocity (m s-1),sea_water_temperature_9 (K),platform
2022-06-07T11:20:00Z,99793.98,282.48,NaN,0.204,346.2,294.8,7.71,5.562,NaN,NaN,285.711,NaN,NaN,285.695,NaN,NaN,285.73,NaN,NaN,285.696,NaN,NaN,285.684,NaN,NaN,285.642,NaN,NaN,285.553,NaN,NaN,285.349,NaN,285.076,1
2022-06-07T12:20:00Z,99846.46,282.35,2.123,0.224,356.2,296.7,6.86,5.453,NaN,NaN,286.177,NaN,NaN,286.173,NaN,NaN,286.198,NaN,NaN,286.087,NaN,NaN,285.954,NaN,NaN,285.994,NaN,NaN,285.914,NaN,NaN,285.9,NaN,285.651,1
2022-06-07T18:20:00Z,100114.2,283.5,3.46,0.453,338.6,264.5,8.64,6.849,NaN,NaN,286.261,NaN,NaN,286.248,NaN,NaN,286.28,NaN,NaN,286.245,NaN,NaN,286.254,NaN,NaN,286.315,NaN,NaN,286.258,NaN,NaN,286.264,NaN,286.271,1
2022-06-07T18:40:00Z,100134.7,283.5,3.539,0.44,336.6,271,9.41,6.974,NaN,NaN,286.278,NaN,NaN,286.264,NaN,NaN,286.294,NaN,NaN,286.26,NaN,NaN,286.269,NaN,NaN,286.326,NaN,NaN,286.272,NaN,NaN,286.278,NaN,286.284,1
2022-06-07T19:00:00Z,100152.1,283.56,3.587,0.423,333.3,275.2,7.91,6.444,NaN,NaN,286.303,NaN,NaN,286.287,NaN,NaN,286.317,NaN,NaN,286.286,NaN,NaN,286.292,NaN,NaN,286.349,NaN,NaN,286.291,NaN,NaN,286.292,NaN,286.296,1
2022-06-07T19:20:00Z,100176.6,283.73,3.587,0.423,333.3,281,8.15,6.019,NaN,NaN,286.352,NaN,NaN,286.325,NaN,NaN,286.348,NaN,NaN,286.326,NaN,NaN,286.298,NaN,NaN,286.359,NaN,NaN,286.306,NaN,NaN,286.306,NaN,286.309,1
2022-06-07T19:40:00Z,100191.1,284.01,3.637,0.423,325.5,281.2,7.48,5.888,NaN,NaN,286.371,NaN,NaN,286.354,NaN,NaN,286.393,NaN,NaN,286.36,NaN,NaN,286.359,NaN,NaN,286.401,NaN,NaN,286.346,NaN,NaN,286.329,NaN,286.331,1
2022-06-07T20:00:00Z,100201.7,284.14,3.604,0.49,318.3,285.9,6.7,5.515,NaN,NaN,286.375,NaN,NaN,286.361,NaN,NaN,286.389,NaN,NaN,286.346,NaN,NaN,286.343,NaN,NaN,286.398,NaN,NaN,286.323,NaN,NaN,286.326,NaN,286.332,1
2022-06-07T20:20:00Z,100229,284.13,3.661,0.468,319,281.2,5.9,4.921,NaN,NaN,286.368,NaN,NaN,286.354,NaN,NaN,286.39,NaN,NaN,286.353,NaN,NaN,286.364,NaN,NaN,286.425,NaN,NaN,286.351,NaN,NaN,286.33,NaN,286.335,1
2022-06-07T20:40:00Z,100237.9,284.09,3.688,0.385,323.7,278.4,5.46,4.497,NaN,NaN,286.36,NaN,NaN,286.346,NaN,NaN,286.375,NaN,NaN,286.342,NaN,NaN,286.354,NaN,NaN,286.414,NaN,NaN,286.344,NaN,NaN,286.33,NaN,286.332,1
2022-06-07T21:00:00Z,100235.3,284.16,3.688,0.385,323.7,259.9,5.16,3.937,NaN,NaN,286.354,NaN,NaN,286.34,NaN,NaN,286.37,NaN,NaN,286.337,NaN,NaN,286.345,NaN,NaN,286.407,NaN,NaN,286.351,NaN,NaN,286.352,NaN,286.335,1
2022-06-07T21:20:00Z,100234,284.31,4.445,0.399,335.8,271.5,5.35,4.047,NaN,NaN,286.368,NaN,NaN,286.348,NaN,NaN,286.374,NaN,NaN,286.338,NaN,NaN,286.345,NaN,NaN,286.398,NaN,NaN,286.332,NaN,NaN,286.34,NaN,286.33,1
2022-06-07T21:40:00Z,100251.7,284.54,4.208,0.398,343.4,261.8,5.84,4.377,NaN,NaN,286.373,NaN,NaN,286.357,NaN,NaN,286.39,NaN,NaN,286.35,NaN,NaN,286.352,NaN,NaN,286.409,NaN,NaN,286.347,NaN,NaN,286.349,NaN,286.343,1
2022-06-07T22:00:00Z,100257.2,284.78,4.208,0.398,343.4,241.1,6.13,5.093,NaN,NaN,286.404,NaN,NaN,286.387,NaN,NaN,286.408,NaN,NaN,286.358,NaN,NaN,286.351,NaN,NaN,286.398,NaN,NaN,286.341,NaN,NaN,286.342,NaN,286.336,1
2022-06-07T22:20:00Z,100272.5,285.22,4.546,0.536,6.321,238.2,6.29,5.157,NaN,NaN,286.411,NaN,NaN,286.397,NaN,NaN,286.435,NaN,NaN,286.386,NaN,NaN,286.377,NaN,NaN,286.403,NaN,NaN,286.339,NaN,NaN,286.339,NaN,286.334,1
2022-06-07T22:40:00Z,100281.9,285.64,4.529,0.519,5.743,243.2,5.69,4.725,NaN,NaN,286.426,NaN,NaN,286.411,NaN,NaN,286.44,NaN,NaN,286.392,NaN,NaN,286.37,NaN,NaN,286.411,NaN,NaN,286.343,NaN,NaN,286.338,NaN,286.325,1
2022-06-07T23:00:00Z,100311.1,285.68,4.65,0.505,7.182,242,6.64,5.324,NaN,NaN,286.421,NaN,NaN,286.406,NaN,NaN,286.438,NaN,NaN,286.399,NaN,NaN,286.355,NaN,NaN,286.405,NaN,NaN,286.337,NaN,NaN,286.326,NaN,286.322,1
2022-06-07T23:20:00Z,100325.6,285.82,4.723,0.513,11.35,242.4,6.94,5.483,NaN,NaN,286.412,NaN,NaN,286.397,NaN,NaN,286.423,NaN,NaN,286.384,NaN,NaN,286.37,NaN,NaN,286.405,NaN,NaN,286.33,NaN,NaN,286.321,NaN,286.315,1
2022-06-07T23:40:00Z,100340.6,285.77,4.969,0.523,8.28,250.1,7.26,5.452,NaN,NaN,286.405,NaN,NaN,286.391,NaN,NaN,286.422,NaN,NaN,286.389,NaN,NaN,286.399,NaN,NaN,286.443,NaN,NaN,286.326,NaN,NaN,286.301,NaN,286.298,1
2022-06-08T00:00:00Z,100353.1,285.37,5.371,0.526,4.892,249.2,6.73,5.428,NaN,NaN,286.395,NaN,NaN,286.381,NaN,NaN,286.406,NaN,NaN,286.365,NaN,NaN,286.354,NaN,NaN,286.368,NaN,NaN,286.296,NaN,NaN,286.293,NaN,286.282,1
2022-06-08T00:20:00Z,100357.5,285.22,4.861,0.533,172.4,248.9,5.99,4.879,NaN,NaN,286.387,NaN,NaN,286.373,NaN,NaN,286.405,NaN,NaN,286.371,NaN,NaN,286.332,NaN,NaN,286.364,NaN,NaN,286.284,NaN,NaN,286.271,NaN,286.263,1
2022-06-08T00:40:00Z,100375.8,284.81,4.671,0.531,352.8,258,6.41,4.791,NaN,NaN,286.387,NaN,NaN,286.371,NaN,NaN,286.401,NaN,NaN,286.366,NaN,NaN,286.373,NaN,NaN,286.382,NaN,NaN,286.296,NaN,NaN,286.277,NaN,286.257,1
2022-06-08T01:00:00Z,100392.8,284.75,4.641,0.498,352,256.8,6.41,5.193,NaN,NaN,286.379,NaN,NaN,286.362,NaN,NaN,286.391,NaN,NaN,286.359,NaN,NaN,286.345,NaN,NaN,286.397,NaN,NaN,286.296,NaN,NaN,286.271,NaN,286.252,1
2022-06-08T01:20:00Z,100398.7,284.68,4.466,0.486,352.2,253,6.07,5.147,NaN,NaN,286.364,NaN,NaN,286.351,NaN,NaN,286.382,NaN,NaN,286.352,NaN,NaN,286.345,NaN,NaN,286.364,NaN,NaN,286.291,NaN,NaN,286.284,NaN,286.248,1
2022-06-08T01:40:00Z,100417.2,284.69,4.493,0.489,349.8,254.9,5.98,4.89,NaN,NaN,286.362,NaN,NaN,286.347,NaN,NaN,286.375,NaN,NaN,286.338,NaN,NaN,286.313,NaN,NaN,286.364,NaN,NaN,286.287,NaN,NaN,286.272,NaN,286.241,1
2022-06-08T02:00:00Z,100445.1,284.62,4.493,0.489,349.8,252.1,5.2,4.277,NaN,NaN,286.353,NaN,NaN,286.338,NaN,NaN,286.368,NaN,NaN,286.336,NaN,NaN,286.346,NaN,NaN,286.384,NaN,NaN,286.311,NaN,NaN,286.271,NaN,286.246,1
2022-06-08T02:20:00Z,100453.3,284.55,4.493,0.489,349.8,257.5,4.86,3.656,NaN,NaN,286.347,NaN,NaN,286.334,NaN,NaN,286.363,NaN,NaN,286.33,NaN,NaN,286.339,NaN,NaN,286.374,NaN,NaN,286.295,NaN,NaN,286.269,NaN,286.246,1
2022-06-08T02:40:00Z,100458.1,284.53,4.493,0.489,349.8,253.2,6.23,4.024,NaN,NaN,286.336,NaN,NaN,286.323,NaN,NaN,286.354,NaN,NaN,286.318,NaN,NaN,286.321,NaN,NaN,286.368,NaN,NaN,286.297,NaN,NaN,286.268,NaN,286.228,1
2022-06-08T03:00:00Z,100488.4,284.79,3.637,0.484,8.59,240.9,6.06,4.699,NaN,NaN,286.337,NaN,NaN,286.321,NaN,NaN,286.346,NaN,NaN,286.316,NaN,NaN,286.324,NaN,NaN,286.362,NaN,NaN,286.284,NaN,NaN,286.271,NaN,286.242,1
2022-06-08T03:20:00Z,100509.1,284.89,4.307,0.475,11.86,233.4,6.77,5.784,0.003946187,NaN,286.328,0.002789036,NaN,286.315,0.006487378,NaN,286.341,2.480027,NaN,286.311,1.350478,NaN,286.321,-0.9862533,NaN,286.384,-3.297567,NaN,286.285,-2.044145,NaN,286.27,NaN,286.259,1
2022-06-08T03:40:00Z,100549.5,284.83,4.307,0.475,11.86,235.5,7.97,6.583,0.003392919,2.699998,286.321,0.0114703,10.59999,286.307,0.002874557,6.1,286.337,3.606559,-1.950059,286.301,5.115913,-4.923153,286.285,-1.039365,-3.23724,286.332,-1.269289,0.799315,286.271,-2.720998,-3.45777,286.27,NaN,286.263,1
2022-06-08T04:00:00Z,100557.9,284.65,4.839,0.491,19.12,236.6,7.98,6.676,0.001858775,1.499999,286.312,0.006600834,6.099996,286.3,0.0124407,5.399986,286.331,-4.90E-07,-5.6,286.298,0.5555065,-1.816979,286.308,-2.432807,-1.921314,286.367,-2.333452,-2.333452,286.286,3.79098,-2.605469,286.278,NaN,286.268,1
2022-06-08T04:20:00Z,100563.7,284.74,4.803,0.492,20.48,231.1,7.87,6.537,0.001605703,1.999999,286.293,0.006644462,2.699992,286.281,0.01507958,2.999962,286.315,2.59667,0.1315417,286.283,-0.715806,-4.847434,286.296,2.150409,-1.461417,286.348,-1.09099,-1.794363,286.272,-1.137034,-4.56039,286.272,NaN,286.267,1
2022-06-08T04:40:00Z,100556.9,285.04,4.682,0.48,29.44,229.9,6.63,5.531,0.004178318,4.199998,286.279,0.01122595,4.799987,286.269,0.002460914,2.999999,286.303,5.633172,-2.820883,286.271,3.174667,-5.32555,286.285,0.046417,-1.39923,286.346,0.3388095,-1.151177,286.258,-2.901706,-3.036462,286.23,NaN,286.131,1
2022-06-08T05:00:00Z,100544.2,285.36,4.603,0.457,26.8,215.2,6.27,5.094,0.002904227,1.599998,286.272,0.01710243,4.099964,286.269,0.02513264,4.999936,286.301,2.171579,-1.238647,286.269,1.465857,-8.57562,286.28,5.385752,1.534171,286.34,1.120538,-4.667376,286.282,-7.345654,-4.661691,286.218,NaN,286.188,1
2022-06-08T05:20:00Z,100585.7,285.25,4.644,0.45,38.38,216.4,7.64,6.236,0.002813471,3.099999,286.281,0.006681115,3.299993,286.269,0.01492255,5.699981,286.301,1.879715,1.796294,286.267,0.4758583,0.6430855,286.28,-7.645056,-2.965319,286.343,2.961258,-4.870416,286.288,-2.580063,0.3213643,286.242,NaN,286.201,1
2022-06-08T05:40:00Z,100594.7,285.34,5.132,0.423,48.05,220,6.86,5.714,0.002199115,2.999999,286.274,0.002251475,2.999999,286.259,0.001364837,0.1999954,286.29,1.6107,3.107354,286.258,-1.300009,3.033146,286.271,-1.388054,-2.771878,286.335,-0.05584338,1.99922,286.283,-6.434672,-6.434672,286.284,NaN,286.236,1
2022-06-08T06:00:00Z,100592.3,285.52,5.132,0.423,48.05,215.8,7.25,5.907,0.00212232,3.199999,286.272,0.009089672,5.599993,286.259,0.005654864,3.599995,286.29,1.220658,1.830299,286.259,2.052873,1.426784,286.272,3.380195,-6.357222,286.335,-0.6514334,4.75559,286.281,2.051718,-6.167694,286.283,NaN,286.257,1
2022-06-08T06:20:00Z,100587.8,285.57,3.727,0.403,40.93,220.8,7.87,6.785,0.006709041,3.099993,286.273,0.002314307,3.899999,286.259,0.006492614,1.99999,286.29,3.832785,1.455939,286.258,6.300395,-2.558325,286.27,-5.638301,-3.977381,286.333,-7.497288,-5.670155,286.279,-3.078829,0.3616796,286.279,NaN,286.282,1
2022-06-08T06:40:00Z,100588.4,285.71,4.19,0.411,37.84,227.1,8.57,7.526,0.00374373,3.299998,286.268,0.003935718,5.499998,286.254,0.003054322,0.9999954,286.285,2.838007,3.230436,286.252,2.385962,-0.2591986,286.264,1.299787,3.249701,286.326,-1.522412,4.446601,286.274,1.492821,7.145732,286.281,NaN,286.286,1
2022-06-08T07:00:00Z,100585.8,285.91,4.19,0.411,37.84,232.3,9.24,7.713,0.01184031,6.399989,286.262,0.008534649,2.999988,286.249,0.01320166,6.099986,286.281,2.950709,1.477605,286.249,-4.63E-07,-5.3,286.261,3.378917,-2.322266,286.324,-0.3625306,3.983538,286.269,-3.816185,0.8041959,286.279,NaN,286.281,1
2022-06-08T07:20:00Z,100563.8,285.86,4.581,0.395,5.017,234.9,7.91,6.94,0.009005886,2.999986,286.261,0.006806782,3.899994,286.247,0.00876503,2.699986,286.28,4.438285,-0.7427145,286.247,-0.2580234,-5.093468,286.26,-2.798329,3.264867,286.325,-3.585748,0.3200208,286.271,-3.681303,-4.219954,286.272,NaN,286.271,1
2022-06-08T07:40:00Z,100595.3,285.84,4.77,0.4,9.7,227.6,8.64,7.409,0.002432989,4.1,286.255,0.002260201,3.699999,286.237,0.01445479,4.099975,286.266,0.9952274,0.09758292,286.23,-0.2163168,3.994146,286.251,3.65792,4.50107,286.316,3.880717,0.3873467,286.263,-0.266056,1.780229,286.269,NaN,286.273,1
2022-06-08T08:00:00Z,100649.8,285.73,4.702,0.423,8.06,228,9.61,7.823,0.002638938,3.599999,286.25,3.77E-04,0.8999998,286.238,0.01214049,3.69998,286.268,0.5297686,0.2816829,286.235,6.541184,-1.450146,286.246,-1.045716,2.811846,286.311,-0.5693256,-0.1893892,286.255,-1.833136,1.024506,286.263,NaN,286.271,1
2022-06-08T08:20:00Z,100669.5,285.52,4.458,0.431,3.571,228.4,8.23,7.256,0.004691444,2.799996,286.243,0.01682322,8.099983,286.232,0.01086467,7.499992,286.262,3.938012,-0.7014669,286.23,0.9438008,-0.3305145,286.244,-1.66054,-3.528825,286.305,1.470922,-0.2939193,286.25,4.456732,1.782566,286.249,NaN,286.257,1
2022-06-08T08:40:00Z,100687.5,285.27,4.068,0.39,4.681,230,8.07,6.85,6.35E-04,2.8,286.244,0.005874778,6.599997,286.228,0.006035346,3.799995,286.255,0.9993908,0.03489938,286.222,1.003941,-1.494022,286.235,1.837946,-1.977866,286.298,-0.5462588,5.472806,286.245,-2.668175,3.113013,286.252,NaN,286.258,1
2022-06-08T09:00:00Z,100693.9,285.1,4.036,0.367,13.7,225.2,6.57,5.579,0.002055998,3.099999,286.22,0.006586871,5.099996,286.212,0.00641233,2.199991,286.244,3.880294,1.60727,286.211,0.2985744,-2.179645,286.224,2.709193,1.03454,286.289,-1.569559,-2.902841,286.237,3.640375,-0.6615689,286.246,NaN,286.253,1
2022-06-08T09:20:00Z,100712.2,284.75,4.428,0.354,28.56,204.3,4.7,2.899,0.002453933,3.699999,286.228,0.007440335,4.899994,286.224,0.003246297,0.5999912,286.258,7.135137,1.54267,286.224,-1.970335,-5.027702,286.235,-1.951076,1.563107,286.295,1.497695,0.5629466,286.241,4.400335,2.155701,286.245,NaN,286.245,1
2022-06-08T09:40:00Z,100726.9,284.38,4.429,0.334,29.44,220.7,5.26,4.001,9.29E-04,1.9,286.204,7.85E-04,0.9999997,286.196,0.01774294,3.399954,286.236,1.586273,3.562827,286.214,2.568889,2.934418,286.23,-2.002429,3.229594,286.295,-1.431477,-2.636451,286.244,1.423066,0.7313566,286.249,NaN,286.252,1
2022-06-08T10:00:00Z,100722,284.37,4.445,0.3,23.5,222.9,4.16,3.004,0.002214823,2.699999,286.212,0.001581266,0.5999979,286.216,0.03267243,6.499918,286.248,2.507261,3.244017,286.214,0,5.4,286.219,-5.494338,-0.2494971,286.288,0,1.3,286.237,-3.149048,-3.073027,286.243,NaN,286.249,1
2022-06-08T10:20:00Z,100712.1,284.64,4.445,0.3,23.5,210.4,3.98,3.222,0.0012706,1.299999,286.182,0.02949249,7.099939,286.206,0.02192818,3.599933,286.245,3.558578,0.5445384,286.215,2.1895,-0.2146826,286.227,0.1865483,-1.689734,286.289,0.7456494,-1.064898,286.232,0.1088713,-2.397529,286.237,NaN,286.242,1
2022-06-08T10:40:00Z,100707.1,284.86,NaN,NaN,NaN,192.7,5.25,4.314,0.00212232,1.599999,286.2,0.02247633,9.399973,286.21,0.01697834,1.899924,286.249,5.406145,1.011732,286.215,3.226656,1.810715,286.224,2.805076,-0.7358978,286.287,5.140032,-3.466997,286.228,2.783623,-0.3023984,286.233,NaN,286.237,1
2022-06-08T11:00:00Z,100729.3,285.19,4.387,0.298,43.9,200.8,4.57,3.603,0.002115338,1.199998,286.208,0.01052083,4.399987,286.217,0.009424763,2.999985,286.246,4.384569,0.3681826,286.209,0.1924454,-1.689072,286.224,-1.460964,-0.339977,286.287,-4.007293,-4.861235,286.235,-5.908846,-1.041889,286.238,NaN,286.24,1
2022-06-08T11:20:00Z,100713.2,286.22,4.33,0.285,151.2,251.7,4.5,3.91,0.002042035,2.599999,286.231,0.0166609,7.399982,286.232,0.008169877,3.099989,286.253,4.202525,2.104468,286.22,0.1288247,-0.1529843,286.23,-1.776169,0.6747033,286.294,0.82592,6.447314,286.238,5.2,-2.27E-07,286.24,NaN,286.244,1
2022-06-08T11:40:00Z,100698.1,287.46,4.33,0.285,151.2,232.9,3.65,3.222,0.009368921,4.39999,286.258,0.01303236,5.699985,286.249,0.03078741,4.899903,286.255,1.9,-8.31E-08,286.223,1.030749,-2.603374,286.229,1.342231,-3.0147,286.288,0.8291027,5.234748,286.224,1.719753,-3.721888,286.222,NaN,286.222,1
2022-06-08T12:00:00Z,100705.1,288.42,4.33,0.285,151.2,250.4,4.54,3.956,0.002581341,1.699998,286.281,0.02427747,6.499954,286.243,0.02223526,2.799912,286.262,4.560187,2.283571,286.225,2.614513,-1.665629,286.234,-6.99E-08,-0.8,286.29,0.5308296,1.186684,286.218,2.270413,-0.3677268,286.205,NaN,286.207,1
2022-06-08T12:20:00Z,100721.6,286.84,4.33,0.285,151.2,263.2,5.57,4.82,3.49E-04,0.9999999,286.296,0.002087414,5.2,286.257,0.005785766,6.499997,286.272,-1.279496,-0.9606722,286.231,-1.414192,-1.268881,286.24,-1.484594,-3.928865,286.291,2.928696,3.80299,286.216,-2.751068,3.433894,286.217,NaN,286.207,1
2022-06-08T12:40:00Z,100735.6,286.92,4.082,0.236,335.7,269.3,4.95,4.338,8.48E-04,2.7,286.339,0.01029744,4.99999,286.285,0.008831345,2.299983,286.284,-1.607792,-3.66265,286.24,-2.296207,-2.641483,286.244,-3.703417,3.929974,286.286,-1.515363,-5.391074,286.218,-2.404127,-3.321171,286.21,NaN,286.21,1
2022-06-08T13:00:00Z,100720.7,286.5,4.033,0.232,323.2,288,5.63,4.863,1.66E-04,1.9,286.396,0.003577925,4.999999,286.309,0.01168672,5.399988,286.296,-4.13582,-2.436183,286.247,-3.82699,-2.552284,286.246,0.3766325,-1.657754,286.294,-0.4241698,-1.122533,286.222,1.289172,0.1674343,286.215,NaN,286.21,1
2022-06-08T13:20:00Z,100742.1,287.18,4.033,0.232,323.2,303.8,4.76,4.27,0.005277874,3.599996,286.444,0.005654866,5.399997,286.319,8.38E-04,1.6,286.321,-0.2098898,-1.07979,286.257,-0.9678667,-1.97566,286.26,-4.121101,-4.497391,286.299,-0.991859,2.725108,286.222,1.498456,0.06804442,286.21,NaN,286.201,1
2022-06-08T13:40:00Z,100749.4,287.41,4.027,0.225,298.3,303.2,4.95,4.501,0.007295473,3.799993,286.583,0.003935718,5.499998,286.384,0.003665191,3.499998,286.327,-1.125437,-1.404774,286.261,-2.09968,-0.03664982,286.273,1.744303,4.792432,286.308,-1.428294,-4.055858,286.237,-1.910199,-2.182003,286.222,NaN,286.207,1
2022-06-08T14:00:00Z,100732.1,289.05,3.456,0.225,289.1,321.4,4.09,3.534,0.01144935,4.099984,286.688,0.001082103,0.4999988,286.36,0.004775208,1.199991,286.344,-2.760977,-3.164965,286.282,0.6499401,0.2599575,286.283,-4.751082,-3.326743,286.311,-1.161076,3.088997,286.235,-2.88E-07,-3.3,286.218,NaN,286.189,1
2022-06-08T14:20:00Z,100714.7,291.49,3.144,0.215,279.5,318.3,3.68,3.072,0.005279617,2.499995,286.755,0.007225658,3.599992,286.369,0.006311045,0.7999751,286.358,-2.369793,0.3795793,286.284,-1.792123,0.6311062,286.286,0.6946324,0.08652094,286.297,-6.350925,-0.7910504,286.205,-1.11306,-1.284951,286.173,NaN,286.154,1
2022-06-08T14:40:00Z,100724.4,291.18,3.624,0.206,277,337.4,3.37,2.873,0.008152421,2.699988,286.859,0.004806636,3.399997,286.376,0.03758376,7.399905,286.365,-5.66312,-4.114496,286.297,-0.948876,-0.3156487,286.28,-1.1283,0.8288185,286.297,-2.488166,-6.220855,286.202,-7.427887,2.970942,286.14,NaN,285.924,1
2022-06-08T15:20:00Z,100738,289.81,3.624,0.206,277,290.6,3.74,3.298,0.005131263,2.099994,286.746,0.01361357,10.39999,286.426,0.003408615,0.6999917,286.388,-2.597114,0.1224781,286.325,-3.204887,2.041739,286.364,0,2.8,286.4,-3.144915,-3.49278,286.222,-8.175547,7.056942,286.008,NaN,285.769,1
2022-06-08T15:40:00Z,100692.3,291.68,4.082,0.213,276.6,321,4.27,3.806,0.007007495,5.499996,286.795,0.008148925,2.299986,286.444,0.04443576,6.699852,286.405,-5.07017,0.5507975,286.335,-1.839598,-2.495171,286.393,-2.109238,0.917123,286.359,-3.790506,-4.122144,286.12,-2.237017,-2.947161,285.857,NaN,285.725,1
2022-06-08T16:00:00Z,100653.3,291.94,4.082,0.213,276.6,312.5,4.75,3.96,0.001881465,2.199999,287.149,0.006408846,3.599994,286.482,0.005546642,1.399989,286.444,-2.777848,-2.289881,286.351,-4.48493,1.405491,286.36,-0.7006778,-9.774918,286.452,-4.711811,0.9158826,286.162,-3.527969,-9.142944,285.832,NaN,285.73,1
2022-06-08T16:20:00Z,100676.1,291.27,3.551,0.182,305.7,296.8,4.13,3.591,0.004607665,1.999995,287.362,0.003312634,2.599998,286.525,0.01136207,2.999979,286.449,-7.219815,1.07901,286.353,-3.992489,-1.596881,286.331,8.840594,-6.37604,286.42,-1.216411,2.632555,286.075,-1.562925,-3.682019,285.769,NaN,285.666,1
2022-06-08T16:40:00Z,100643.7,291.1,3.551,0.182,305.7,272.5,5.58,4.569,0.004204497,3.299997,287.707,0.001623156,1.499999,286.591,0.004764747,3.499997,286.486,-1.698893,-0.8507425,286.364,-0.2686556,-0.5364925,286.31,-1.01724,1.102372,286.365,-6.526265,2.531376,286.025,6.8,-2.97E-07,285.786,NaN,285.667,1
2022-06-08T17:00:00Z,100647.3,289.29,3.077,0.179,338.7,280.9,6.31,5.679,0.001368338,0.7999988,287.288,0.01416857,6.599984,286.582,0.006134829,3.699995,286.524,-4.399479,1.653657,286.364,-7.917068,1.711731,286.32,-7.1978,-3.71506,286.372,3.601675,-6.578598,286.072,-9.025958,-4.962065,285.774,NaN,285.583,1
2022-06-08T17:20:00Z,100660.9,287.57,3.077,0.179,338.7,276,6.75,5.866,0.002373647,1.599998,287.859,9.22E-04,1.2,286.656,0.007120942,5.099995,286.524,2.447031,-1.14107,286.395,-4.085621,-0.343078,286.322,-3.582108,2.555094,286.356,2.129797,-3.267103,286.051,-5.210915,-10.13935,285.782,NaN,285.503,1
2022-06-08T17:40:00Z,100664.7,287.36,3.077,0.179,338.7,284.2,5.62,5.087,0.001466076,0.6999985,287.764,0.005028293,4.299997,287.176,0.004213224,3.399998,286.481,-4.11E-07,-4.7,286.393,-3.568558,1.305908,286.328,1.75113,2.914369,286.352,-1.667895,1.434617,286.083,-2.417392,-2.246378,285.791,NaN,285.608,1
2022-06-08T18:00:00Z,100655.1,287.68,3.077,0.179,338.7,285.9,5.35,4.947,0.00405614,1.399994,287.871,0.003371975,2.299998,287.553,0.002890265,3.599999,286.547,-6.8,8.11E-08,286.402,-12.21307,-2.662873,286.355,-2.14814,4.735557,286.364,-1.889009,3.181453,286.085,-3.984073,-1.617765,285.813,NaN,285.649,1
2022-06-08T18:20:00Z,100660.6,287.8,3.077,0.179,338.7,274.2,5.54,5.041,0.003916515,1.699996,288.139,0.00923104,4.29999,287.665,0.001036726,2.7,286.552,0.6594168,-1.234978,286.418,0.6004092,-6.47221,286.362,-4.351728,3.3634,286.376,3.095361,2.533524,286.154,-2.819717,-3.507021,285.82,NaN,285.52,1
2022-06-08T18:40:00Z,100664.9,287.67,3.727,0.175,345.1,269.5,5.74,5.253,5.50E-04,0.8999998,288.176,0.006544979,2.999993,287.692,0.01551246,4.399973,286.56,-5.25E-08,-0.6,286.427,-7.402216,1.722554,286.365,-5.586342,1.559737,286.384,8.2,-3.58E-07,286.102,-3.364174,-1.540238,285.828,NaN,285.607,1
2022-06-08T19:00:00Z,100660.3,287.18,3.727,0.175,345.1,269.7,5.93,5.385,0.004598938,1.699994,287.994,0.004021236,1.799995,287.73,0.002541198,1.399998,286.584,1.004743,-4.283748,286.466,-1.656879,-5.974508,286.385,-5.671142,1.215789,286.383,2.573813,-3.568681,286.11,-1.493094,0.1437686,285.828,NaN,285.563,1
2022-06-08T19:20:00Z,100634.4,286.58,3.727,0.175,345.1,281.4,5.97,5.39,0.006065014,2.499993,287.784,0.009009386,5.799992,287.462,0.01670278,6.599978,286.584,-0.5995166,-0.02407905,286.468,1.374315,3.968785,286.391,-3.6155,5.876918,286.385,8.494465,-4.253712,286.202,-3.303303,1.1568,285.824,NaN,285.558,1
2022-06-08T19:40:00Z,100623.4,286.46,3.572,0.173,340.8,281.9,6.1,5.528,0.01317718,2.499965,287.894,8.90E-04,0.5999994,287.704,0.009712745,3.499987,286.582,-2.08707,-3.529042,286.455,4.043771,0.676695,286.401,-2.884557,-6.157868,286.392,-3.286202,1.469991,286.173,0.2344781,-4.79427,285.809,NaN,285.627,1
