                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.94374,                0.48348,                0.85708,                0.76688,                 0.7031,                0.75617,                0.47709,                 1.1261,                0.89868,                 1.0532,              0.0093565,              0.0093565,              0.0093565
                     67,                 0.8181,                0.44597,                0.86428,                0.74871,                0.71037,                0.74478,                0.46893,                 1.1151,                 0.9876,                  1.053,              0.0093466,              0.0093466,              0.0093466
                     68,                0.94547,                0.47033,                 0.8609,                0.76282,                0.67515,                0.73854,                0.45462,                  1.175,                0.96937,                 1.0699,              0.0093367,              0.0093367,              0.0093367
                     69,                0.93548,                0.49196,                0.86791,                0.78019,                0.66821,                0.75048,                 0.4639,                 1.1522,                0.94088,                  1.052,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.0414,                0.52305,                0.86141,                 0.7846,                0.67824,                 0.7529,                0.47002,                  1.145,                0.85144,                 1.0463,              0.0093169,              0.0093169,              0.0093169
                     71,                0.92563,                0.47684,                0.86619,                0.75656,                0.65664,                0.72724,                0.45353,                 1.1702,                 1.0682,                  1.059,               0.009307,               0.009307,               0.009307
                     72,                0.93646,                0.49497,                0.86815,                0.77132,                0.64969,                0.72632,                0.45382,                 1.1589,                0.93624,                 1.0535,              0.0092971,              0.0092971,              0.0092971
                     73,                0.94571,                0.49936,                0.88287,                0.76475,                0.68479,                0.73847,                 0.4608,                 1.1324,                 0.9232,                 1.0427,              0.0092872,              0.0092872,              0.0092872
                     74,                0.97907,                0.54529,                0.87174,                0.79303,                0.68904,                0.74967,                 0.4574,                 1.1602,                0.84603,                 1.0489,              0.0092773,              0.0092773,              0.0092773
                     75,                0.98709,                0.50351,                0.86356,                  0.782,                0.69753,                0.75753,                0.46796,                  1.136,                0.80808,                 1.0403,              0.0092674,              0.0092674,              0.0092674
                     76,                0.88166,                0.47278,                0.84585,                0.76652,                0.67747,                0.75124,                0.46678,                 1.1197,                0.95209,                 1.0354,              0.0092575,              0.0092575,              0.0092575
                     77,                0.89195,                0.47006,                0.84542,                 0.7587,                0.71327,                0.75768,                0.47877,                 1.0916,                0.87832,                  1.021,              0.0092476,              0.0092476,              0.0092476
                     78,                0.97668,                0.51003,                  0.886,                0.76757,                0.70836,                0.75803,                0.48105,                 1.1009,                0.87799,                 1.0424,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.0494,                0.52138,                0.86103,                0.78305,                0.67052,                0.73746,                0.45104,                 1.1689,                0.97916,                  1.046,              0.0092278,              0.0092278,              0.0092278
                     80,                   1.02,                0.55109,                0.90136,                0.74916,                0.69136,                0.73912,                0.46279,                  1.102,                  1.109,                  1.043,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.0274,                0.55616,                0.90013,                0.76812,                0.68501,                0.74119,                0.45685,                 1.1096,                0.98363,                 1.0373,               0.009208,               0.009208,               0.009208
                     82,                 1.0421,                 0.5269,                0.86521,                0.76891,                 0.6778,                0.73875,                0.44279,                 1.2186,                0.97929,                 1.0445,              0.0091981,              0.0091981,              0.0091981
                     83,                0.93626,                0.48895,                0.86311,                0.76146,                0.67438,                 0.7417,                0.46659,                 1.1299,                0.93074,                 1.0423,              0.0091882,              0.0091882,              0.0091882
                     84,                0.89717,                0.47978,                0.85308,                0.73871,                0.66898,                0.71762,                0.44068,                 1.1711,                 1.0319,                 1.0512,              0.0091783,              0.0091783,              0.0091783
                     85,                0.96323,                0.51307,                 0.8741,                0.73646,                0.67593,                 0.7223,                0.44999,                 1.1149,                 1.1346,                 1.0425,              0.0091684,              0.0091684,              0.0091684
                     86,                0.94509,                 0.5025,                0.87754,                0.74813,                0.65278,                0.71024,                0.44789,                 1.0954,                 1.1822,                 1.0269,              0.0091585,              0.0091585,              0.0091585
