DATE,Number in Million
2/17/1973,216000
2/24/1973,218000
3/3/1973,225000
3/10/1973,229000
3/17/1973,228000
3/24/1973,232000
3/31/1973,222000
4/7/1973,247000
4/14/1973,230000
4/21/1973,243000
4/28/1973,236000
5/5/1973,248000
5/12/1973,238000
5/19/1973,237000
5/26/1973,238000
6/2/1973,232000
6/9/1973,246000
6/16/1973,237000
6/23/1973,242000
6/30/1973,237000
7/7/1973,248000
7/14/1973,232000
7/21/1973,241000
7/28/1973,250000
8/4/1973,256000
8/11/1973,265000
8/18/1973,258000
8/25/1973,254000
9/1/1973,242000
9/8/1973,252000
9/15/1973,245000
9/22/1973,246000
9/29/1973,249000
10/6/1973,236000
10/13/1973,246000
10/20/1973,249000
10/27/1973,235000
11/3/1973,246000
11/10/1973,282000
11/17/1973,254000
11/24/1973,233000
12/1/1973,256000
12/8/1973,266000
12/15/1973,272000
12/22/1973,326000
12/29/1973,300000
1/5/1974,269000
1/12/1974,340000
1/19/1974,321000
1/26/1974,291000
2/2/1974,302000
2/9/1974,369000
2/16/1974,311000
2/23/1974,292000
3/2/1974,301000
3/9/1974,305000
3/16/1974,315000
3/23/1974,314000
3/30/1974,323000
4/6/1974,296000
4/13/1974,297000
4/20/1974,296000
4/27/1974,283000
5/4/1974,287000
5/11/1974,296000
5/18/1974,298000
5/25/1974,309000
6/1/1974,278000
6/8/1974,314000
6/15/1974,303000
6/22/1974,308000
6/29/1974,325000
7/6/1974,311000
7/13/1974,304000
7/20/1974,303000
7/27/1974,320000
8/3/1974,335000
8/10/1974,347000
8/17/1974,332000
8/24/1974,343000
8/31/1974,350000
9/7/1974,350000
9/14/1974,357000
9/21/1974,370000
9/28/1974,366000
10/5/1974,371000
10/12/1974,413000
10/19/1974,389000
10/26/1974,414000
11/2/1974,406000
11/9/1974,441000
11/16/1974,449000
11/23/1974,518000
11/30/1974,474000
12/7/1974,528000
12/14/1974,510000
12/21/1974,521000
12/28/1974,537000
1/4/1975,456000
1/11/1975,554000
1/18/1975,575000
1/25/1975,555000
2/1/1975,559000
2/8/1975,545000
2/15/1975,530000
2/22/1975,544000
3/1/1975,546000
3/8/1975,551000
3/15/1975,531000
3/22/1975,550000
3/29/1975,555000
4/5/1975,537000
4/12/1975,520000
4/19/1975,531000
4/26/1975,513000
5/3/1975,505000
5/10/1975,507000
5/17/1975,514000
5/24/1975,493000
5/31/1975,475000
6/7/1975,529000
6/14/1975,497000
6/21/1975,497000
6/28/1975,459000
7/5/1975,423000
7/12/1975,446000
7/19/1975,445000
7/26/1975,454000
8/2/1975,454000
8/9/1975,459000
8/16/1975,444000
8/23/1975,457000
8/30/1975,446000
9/6/1975,447000
9/13/1975,456000
