                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5164,                 6.6118,                 1.1343,                0.54525,                0.44481,                0.47023,                0.27081,                 1.2411,                  4.544,                 1.1454,               0.070395,              0.0032895,              0.0032895
                      1,                 1.5486,                 9.3967,                 1.1204,                0.52959,                0.45137,                0.47035,                 0.2633,                 1.2679,                 4.7652,                 1.1699,               0.040382,              0.0066097,              0.0066097
                      2,                 1.4335,                 3.3626,                 1.1033,                 0.5737,                0.45301,                0.49255,                 0.2753,                 1.2337,                 7.8927,                 1.0946,               0.010355,              0.0099167,              0.0099167
                      3,                 1.5481,                 3.6658,                 1.1182,                0.65357,                 0.0929,                0.12259,                0.08366,                 1.3032,                 11.313,                 1.1072,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.4817,                 8.4912,                 1.0841,                0.49436,                0.47869,                0.35174,                0.16313,                 1.2241,                 35.586,                 1.0758,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5017,                 17.068,                 1.0867,                 0.0055,                0.06885,                0.00301,                0.00217,                 1.3678,                    inf,                 1.1374,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.6471,                 8.2215,                  1.171,                0.57703,                0.32131,                0.32057,                 0.1808,                 1.4367,                 17.557,                 1.1677,               0.009901,               0.009901,               0.009901
                      7,                 1.7059,                 3.1604,                 1.1938,                0.61775,                0.32675,                0.36051,                0.19852,                 1.4381,                 3.4253,                 1.1759,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.7443,                 3.2251,                 1.2131,                0.72576,                0.33261,                0.43904,                0.24208,                 1.3855,                 2.5571,                 1.1576,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.6893,                 12.811,                 1.1828,                0.43019,                0.54754,                0.47886,                0.23493,                 1.3595,                 11.082,                 1.1905,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.6813,                 5.1859,                  1.166,                0.53728,                0.55847,                0.53366,                0.26677,                  1.426,                 3.5897,                 1.2217,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.8222,                 2.2961,                 1.2671,                0.54953,                0.54754,                0.52877,                 0.2661,                 1.5304,                 1.3535,                 1.2611,               0.009802,               0.009802,               0.009802
                     12,                 1.7785,                 1.5399,                 1.1976,                0.59929,                0.51585,                0.52895,                0.26158,                 1.5653,                 1.3392,                 1.2529,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6287,                 1.6392,                 1.1348,                0.67879,                0.51041,                0.55775,                0.27217,                 1.4635,                 1.2286,                 1.1898,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.7037,                 1.6605,                 1.1467,                0.53856,                0.46557,                0.46231,                0.23883,                 1.3386,                 1.3014,                 1.1558,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.6911,                  2.085,                 1.1079,                 0.3306,                0.42623,                0.30652,                 0.1505,                 1.3207,                 1.5613,                 1.1451,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.5284,                 1.7523,                 1.1009,                0.70191,                0.14973,                 0.4115,                  0.225,                 1.3776,                 1.8418,                 1.1184,               0.009703,               0.009703,               0.009703
                     17,                 1.7179,                 2.3644,                 1.1215,                0.41976,                0.18033,                 0.3345,                0.17043,                  1.688,                 1.5885,                 1.3189,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.6034,                 1.7013,                 1.0879,                0.49833,                0.42186,                0.40432,                0.18987,                  1.426,                 2.0519,                 1.1399,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.6589,                 1.7138,                 1.1416,                0.51708,                0.40546,                0.39652,                0.17427,                 1.5078,                 1.7212,                 1.1845,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.6607,                 2.2431,                 1.1339,                0.76668,                0.33443,                0.45179,                0.23692,                  1.505,                 1.5712,                 1.2051,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.7248,                 1.6299,                 1.1429,                0.60705,                0.51585,                0.53827,                0.24946,                 1.3904,                 1.4693,                 1.1407,               0.009604,               0.009604,               0.009604
                     22,                  1.595,                 1.9397,                 1.1238,                0.69569,                0.52969,                0.60472,                0.32717,                 1.3224,                 1.1024,                 1.1206,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.5428,                 1.4788,                 1.0635,                0.64079,                0.52568,                0.57008,                0.30259,                 1.3178,                 1.0575,                 1.0951,              0.0095644,              0.0095644,              0.0095644
                     24,                  1.573,                 1.1839,                 1.0809,                0.67028,                0.55544,                 0.6094,                0.29043,                 1.3806,                 1.1539,                 1.1195,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.5822,                 1.1087,                 1.0882,                0.70558,                0.53115,                0.59235,                0.28159,                 1.3944,                  1.063,                 1.1387,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.5808,                 1.0909,                 1.0798,                0.72668,                0.53443,                0.61048,                0.30552,                 1.3643,                 1.0119,                 1.1423,               0.009505,               0.009505,               0.009505
                     27,                 1.5399,                 1.1683,                 1.0857,                0.73609,                0.54973,                0.63258,                0.32249,                 1.4549,                 1.0829,                 1.1885,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.5583,                 1.4243,                 1.0833,                0.63423,                 0.5224,                0.56301,                0.28869,                 1.3338,                 1.3083,                 1.1286,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.5396,                 1.2427,                 1.0783,                0.71488,                0.57819,                0.63086,                0.30861,                  1.381,                 1.1652,                   1.14,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.5118,                 1.1848,                 1.0791,                0.66652,                0.57449,                0.62756,                0.32251,                 1.3246,                 1.1074,                 1.1292,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.4909,                 1.0098,                 1.0734,                0.74484,                0.57705,                0.64183,                0.32729,                 1.3393,                 1.0043,                 1.1328,               0.009406,               0.009406,               0.009406
                     32,                 1.4752,                 1.0793,                 1.0924,                0.68744,                 0.5541,                0.62308,                0.32126,                 1.3762,                 1.1018,                 1.1553,              0.0093862,              0.0093862,              0.0093862
                     33,                 1.5642,                 1.1938,                 1.0732,                0.57578,                0.54973,                  0.573,                 0.2741,                 1.3891,                 1.1169,                 1.1349,              0.0093664,              0.0093664,              0.0093664
                     34,                  1.548,                 1.0101,                 1.0888,                0.70892,                0.59624,                0.65277,                0.33876,                 1.3796,                 1.0517,                 1.1648,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5586,                 1.0031,                 1.1061,                0.70675,                0.56103,                0.64504,                0.33314,                 1.3843,                 1.3398,                 1.1683,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.4891,                0.93946,                 1.0912,                0.74416,                0.54676,                0.64298,                0.32961,                 1.3574,                0.97831,                 1.1535,               0.009307,               0.009307,               0.009307
                     37,                 1.5357,                 1.0014,                 1.1082,                0.68499,                 0.5157,                0.58978,                0.29705,                 1.3616,                 1.2128,                 1.1389,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.4869,                 1.1753,                 1.0714,                0.66375,                0.53989,                0.58497,                0.29735,                 1.3619,                 1.1524,                 1.1373,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.4724,                 1.0132,                 1.0802,                0.65561,                0.61858,                0.65142,                0.33712,                 1.3413,                 1.3472,                 1.1378,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.4799,                 1.0579,                 1.0843,                0.65491,                0.57453,                0.63066,                0.33203,                 1.3643,                  1.081,                  1.152,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.4439,                0.95788,                 1.0881,                0.67586,                0.60159,                0.64607,                0.34677,                 1.3202,                 1.0525,                 1.1402,               0.009208,               0.009208,               0.009208
                     42,                 1.5331,                0.97988,                  1.094,                 0.6955,                0.59781,                0.65722,                0.33801,                 1.3775,                0.94495,                 1.1662,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.4383,                0.92498,                 1.0765,                0.71861,                  0.561,                0.63462,                 0.3307,                 1.3758,                 1.0892,                 1.1695,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.5163,                 1.0013,                 1.1095,                 0.7124,                0.55767,                0.62465,                0.30408,                 1.4038,                 0.8942,                 1.1568,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.6126,                0.98736,                 1.0658,                0.73609,                0.59748,                0.66741,                0.34451,                 1.3359,                 0.8869,                  1.124,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.5589,                0.95544,                 1.0694,                0.72519,                0.59563,                0.66674,                0.33782,                 1.3428,                0.91693,                 1.1169,               0.009109,               0.009109,               0.009109
                     47,                  1.519,                0.88376,                 1.0586,                0.74238,                0.57004,                0.64316,                0.32531,                 1.3372,                0.94316,                 1.1143,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.6271,                0.98133,                 1.0437,                0.68788,                0.57566,                0.63491,                0.32286,                 1.3026,                0.94511,                 1.1102,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4565,                0.94309,                 1.0578,                0.68961,                0.59491,                0.63929,                0.33163,                  1.324,                0.95527,                 1.1308,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.4409,                0.95587,                 1.0711,                0.68004,                0.58579,                0.64055,                0.33596,                 1.3319,                0.92369,                 1.1519,              0.0090298,              0.0090298,              0.0090298
