                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2825,                0.72016,                 0.9667,                0.78195,                0.65486,                0.74638,                0.45986,                 1.1006,                0.84873,                0.99776,               0.008911,               0.008911,               0.008911
                     57,                 1.2059,                0.70249,                 1.0042,                0.77599,                0.66875,                0.75223,                0.46281,                 1.0844,                 0.8705,                0.98754,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.3321,                0.74843,                 0.9807,                0.75812,                0.65556,                0.74215,                0.46004,                 1.1008,                0.86877,                0.98581,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.3191,                  0.759,                 1.0059,                0.75459,                0.65903,                0.73917,                0.46102,                 1.0879,                0.88445,                0.97316,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.4241,                0.78649,                 0.9786,                0.80426,                0.64583,                0.74104,                0.45369,                 1.1402,                0.83135,                0.98553,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.2418,                0.72359,                0.98313,                0.81832,                0.62361,                0.74463,                0.45764,                 1.0971,                0.79403,                0.98294,               0.008812,               0.008812,               0.008812
                     62,                 1.3851,                0.80853,                 1.0324,                0.77189,                0.64792,                0.72862,                0.43965,                 1.1339,                0.87357,                0.99481,              0.0087922,              0.0087922,              0.0087922
                     63,                  1.266,                0.75046,                0.99572,                0.77552,                0.65625,                0.73421,                0.45248,                 1.1108,                 0.9066,                0.99572,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.3331,                0.80304,                 1.0107,                 0.7796,                0.62883,                0.70988,                0.42464,                 1.1732,                0.93408,                0.99422,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.3356,                0.76198,                 1.0032,                0.79392,                0.59659,                0.71028,                 0.4307,                 1.1896,                  1.003,                 1.0132,              0.0087328,              0.0087328,              0.0087328
                     66,                  1.248,                0.93748,                 0.9718,                0.75386,                0.64306,                0.70821,                0.42715,                 1.1344,                 1.0544,                 1.0133,               0.008713,               0.008713,               0.008713
                     67,                 1.2441,                0.82717,                0.96242,                0.76007,                0.64514,                0.70557,                0.41809,                 1.1446,                 1.1069,                 1.0167,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.3223,                0.77054,                0.98954,                0.73906,                  0.653,                0.71638,                0.43613,                 1.1495,                0.89916,                 1.0225,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.4094,                0.77475,                0.98995,                0.79545,                0.59952,                0.69395,                0.40931,                 1.2188,                0.96445,                 1.0241,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.3531,                0.80602,                 1.0396,                0.73321,                0.63403,                 0.7028,                0.41064,                 1.2097,                0.99765,                 1.0252,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.3727,                0.77472,                 1.0126,                0.72504,                  0.625,                0.68355,                0.40614,                 1.1728,                 1.1181,                 1.0027,               0.008614,               0.008614,               0.008614
                     72,                 1.3997,                0.76266,                0.98359,                0.72026,                0.61875,                0.67134,                0.37516,                 1.2938,                 1.0727,                 1.0278,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.3122,                0.74049,                0.98222,                 0.7543,                0.62569,                0.69669,                0.41139,                 1.1482,                0.99238,                 1.0024,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.2433,                0.70784,                 1.0271,                0.75127,                 0.6817,                0.73223,                 0.4495,                 1.1173,                0.93133,                0.99983,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.3692,                0.75081,                0.99424,                0.74072,                0.66875,                0.70456,                0.41203,                  1.196,                 0.9918,                 1.0076,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.3774,                0.78984,                 1.0413,                0.72339,                0.64792,                0.68999,                0.38963,                 1.2867,                 1.0302,                 1.0604,               0.008515,               0.008515,               0.008515
                     77,                 1.3968,                0.76343,                0.99208,                0.72925,                0.65417,                 0.7086,                0.43048,                 1.1577,                0.94473,                 1.0203,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.2138,                0.74056,                 1.0205,                0.75698,                0.63264,                0.71391,                0.42238,                 1.2103,                0.88293,                 1.0213,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.3175,                0.76033,                 1.0187,                0.72199,                 0.6709,                0.70275,                0.43925,                  1.103,                 1.0325,                0.99196,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.2268,                0.73668,                0.99411,                0.76645,                0.62672,                 0.6987,                0.41975,                 1.1531,                 1.1083,                 1.0247,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.2406,                 0.7544,                0.99433,                0.77197,                0.62014,                0.70245,                0.43243,                 1.1394,                 1.1225,                 1.0232,               0.008416,               0.008416,               0.008416
                     82,                 1.2374,                0.71881,                0.97207,                0.71517,                0.64583,                0.67718,                0.41869,                  1.135,                 1.1537,                 1.0075,              0.0083962,              0.0083962,              0.0083962
                     83,                  1.438,                0.75707,                0.96527,                 0.7196,                0.66181,                0.68988,                0.41557,                 1.1502,                  1.086,                 1.0116,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.4381,                0.77819,                0.98788,                 0.7658,                0.63889,                0.69434,                0.42127,                 1.1522,                 1.0106,                 1.0233,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.2677,                0.69696,                0.98072,                0.74028,                0.67222,                0.70534,                0.42868,                 1.1637,                0.98138,                 1.0204,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.2678,                 0.7175,                0.97098,                0.75992,                0.67153,                0.71196,                0.43451,                 1.1163,                0.93468,                 1.0037,               0.008317,               0.008317,               0.008317
                     87,                 1.1925,                0.69033,                0.98709,                0.75298,                0.65623,                0.71718,                0.44366,                 1.1055,                0.91898,                0.99685,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.4047,                0.76622,                0.96595,                0.75117,                0.64931,                0.72003,                0.44225,                 1.1316,                  0.974,                 1.0043,              0.0082774,              0.0082774,              0.0082774
                     89,                  1.265,                0.69133,                0.96044,                 0.7643,                0.63952,                0.73153,                0.45265,                 1.0978,                0.92103,                0.99461,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.2567,                0.71878,                0.99006,                0.76693,                0.64722,                0.72862,                0.44999,                 1.1113,                0.95588,                0.99723,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.1662,                0.66924,                0.98685,                0.80088,                0.62708,                0.71568,                0.44805,                 1.0722,                  1.001,                0.98306,               0.008218,               0.008218,               0.008218
                     92,                 1.2177,                0.68925,                0.95985,                0.75079,                0.64514,                0.70345,                0.43324,                 1.0952,                 1.2229,                0.97541,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.2884,                0.78002,                0.98617,                 0.7559,                 0.6602,                 0.7321,                0.46247,                  1.044,                0.94505,                0.97205,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.2708,                0.70935,                 0.9521,                0.77211,                0.64467,                0.71774,                0.43762,                 1.1108,                0.98987,                0.98916,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.2411,                0.72693,                0.93494,                0.81331,                0.63333,                 0.7412,                0.46105,                 1.0774,                0.89471,                0.98633,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.2597,                0.73808,                0.97003,                0.75447,                0.67153,                0.71136,                0.43785,                 1.1466,                 0.9432,                  1.011,               0.008119,               0.008119,               0.008119
                     97,                 1.3542,                0.72057,                 0.9834,                0.74612,                0.64097,                0.69681,                0.42443,                 1.1532,                 1.1125,                  1.006,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.2633,                0.73438,                0.97824,                0.75942,                0.65694,                 0.7272,                0.45503,                 1.0995,                 0.8992,                0.99417,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.2562,                0.69833,                0.96924,                0.77027,                0.65278,                0.72541,                0.45543,                  1.112,                0.96014,                 1.0002,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.2248,                0.70312,                0.94287,                0.76122,                0.63982,                0.70761,                0.40872,                 1.2053,                 1.0734,                 1.0081,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.2119,                0.70086,                0.99654,                0.76083,                0.64514,                0.71524,                0.44251,                 1.1208,                 1.1314,                0.99634,                0.00802,                0.00802,                0.00802
                    102,                 1.1768,                0.66589,                0.95889,                0.71429,                0.67362,                0.69744,                0.44356,                 1.0624,                 1.1388,                0.98432,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.2288,                0.69744,                0.96865,                0.74288,                0.65417,                0.69875,                0.43736,                 1.0874,                 1.2202,                0.98116,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.3162,                0.71853,                 0.9515,                0.74217,                0.65767,                0.70855,                0.43902,                 1.1031,                 1.0908,                0.99237,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.1505,                0.64491,                0.95496,                0.73261,                0.65764,                0.70128,                 0.4176,                 1.1628,                 1.1381,                0.99253,              0.0079408,              0.0079408,              0.0079408
