                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.8622,                0.43779,                0.84982,                0.77279,                 0.7091,                0.77759,                0.50214,                 1.0612,                0.87811,                  1.013,                0.07075,                0.00325,                0.00325
                      1,                0.79385,                0.41774,                0.85522,                0.81985,                0.65509,                0.76893,                0.48098,                 1.0892,                0.96944,                 1.0126,               0.040743,              0.0065768,              0.0065768
                      2,                0.92348,                0.47178,                0.84274,                0.76957,                0.68364,                0.74975,                0.44811,                 1.2254,                0.94484,                 1.0411,                0.01073,               0.009897,               0.009897
                      3,                0.98132,                0.50426,                0.86628,                0.78774,                0.66512,                0.74555,                0.44446,                 1.1982,                 1.0037,                 1.0338,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.0502,                0.50475,                0.86538,                0.78066,                0.69676,                 0.7585,                0.46785,                 1.1104,                0.90251,                  1.011,              0.0099703,              0.0099703,              0.0099703
                      5,                0.99536,                0.49617,                 0.8922,                0.80336,                0.67774,                0.76562,                0.47154,                 1.1671,                0.87994,                 1.0264,              0.0099604,              0.0099604,              0.0099604
                      6,                0.98801,                0.49199,                0.86254,                0.76092,                0.71373,                0.75314,                0.46943,                 1.1066,                0.93973,                 1.0117,              0.0099505,              0.0099505,              0.0099505
                      7,                0.99483,                0.48866,                0.88917,                0.78101,                0.68827,                0.75515,                0.47191,                 1.0858,                0.89373,                 1.0069,              0.0099406,              0.0099406,              0.0099406
                      8,                0.93449,                0.49055,                0.85844,                0.70961,                0.68441,                0.73177,                0.44539,                 1.1703,                0.94931,                 1.0293,              0.0099307,              0.0099307,              0.0099307
                      9,                  1.024,                 0.5156,                0.88009,                0.74456,                0.70293,                 0.7525,                  0.461,                 1.1253,                0.83709,                 1.0216,              0.0099208,              0.0099208,              0.0099208
                     10,                 0.9628,                0.51372,                0.89017,                0.78283,                0.67032,                0.74725,                0.47201,                 1.0993,                0.85114,                 1.0344,              0.0099109,              0.0099109,              0.0099109
                     11,                0.88705,                0.48846,                0.84139,                0.79659,                0.67361,                0.76349,                0.46419,                 1.1615,                0.81475,                  1.045,               0.009901,               0.009901,               0.009901
